Dataset,embeddings,# Features,# Samples,Feature_Samples_ratio,Intrinsic_Dimension,Condition number,Fisher Discriminant Ratio,Total Correlations,Mutual information,# Non-zero entries,# Low variance features,Variation,std_var,Coefficient of Variation %,std_co_of_v,Skewness,std_skew,Kurtosis,std_kurt,Mean Log Kernel Density,Isomap Reconstruction Error,Fractal dimension,Entropy,std_entropy,iteration,model,accuracy,f1_score,time,auc,Model_Parameters,datatype,model_embed_datatype
class_data-1.csv,pca,3,70,0.0428571428571428,3,1.5933720368545696,0.5889308881644273,0.0,0.1861514658021782,210,1,0.1133333333333333,0.0513160143944688,8.979250651249522e+17,9.70320482959011e+17,-0.256118105779314,0.2294225287800358,-0.3342499961345304,0.3128788065153813,-0.6358111418875062,0.0907188718556204,1.987975590318952,0.8812908992306927,0.0,1,dt,0.8666666666666667,0.8613636363636363,0.0080587863922119,0.8095238095238095,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_pca_class_data
class_data-1.csv,pca,3,70,0.0428571428571428,3,1.5933720368545696,0.5889308881644273,0.0,0.1861514658021782,210,1,0.1133333333333333,0.0513160143944688,8.979250651249522e+17,9.70320482959011e+17,-0.256118105779314,0.2294225287800358,-0.3342499961345304,0.3128788065153813,-0.6358111418875062,0.0907188718556204,1.987975590318952,0.8812908992306927,0.0,1,svc,0.7,0.5764705882352941,0.0090360641479492,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_pca_class_data
class_data-1.csv,isomap,3,70,0.0428571428571428,3,1.5637809765862878,0.6153267725992562,0.0,0.1743070204009816,210,1,0.1666666666666666,0.0763762615825973,1.2128335962550892e+18,1.2110045328893998e+18,0.3145127760100801,0.1488867671504597,-0.6211688704341366,0.2528437755778428,-0.995197256949336,0.150260450284594,1.9880347568233676,0.8812908992306927,0.0,1,dt,0.9,0.8982216142270861,0.0084974765777587,0.8650793650793651,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_isomap_class_data
class_data-1.csv,isomap,3,70,0.0428571428571428,3,1.5637809765862878,0.6153267725992562,0.0,0.1743070204009816,210,1,0.1666666666666666,0.0763762615825973,1.2128335962550892e+18,1.2110045328893998e+18,0.3145127760100801,0.1488867671504597,-0.6211688704341366,0.2528437755778428,-0.995197256949336,0.150260450284594,1.9880347568233676,0.8812908992306927,0.0,1,svc,0.7,0.5764705882352941,0.0064678192138671,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_isomap_class_data
class_data-1.csv,none,10,70,0.1428571428571428,8,1.149214612530412e+16,0.3439472510086738,13.772762321118162,0.1078816548426477,690,4,0.056,0.0107496769977314,47.72202309152597,7.098483477339916,0.0003435387181665,0.279444190011488,-0.517758282018679,0.3949016435726991,2.8303323802156704,0.2889914621986245,1.9965317204436972,0.8812908992306927,0.0,1,dt,0.8666666666666667,0.8666666666666667,0.0065860748291015,0.8412698412698412,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_none_class_data
class_data-1.csv,none,10,70,0.1428571428571428,8,1.149214612530412e+16,0.3439472510086738,13.772762321118162,0.1078816548426477,690,4,0.056,0.0107496769977314,47.72202309152597,7.098483477339916,0.0003435387181665,0.279444190011488,-0.517758282018679,0.3949016435726991,2.8303323802156704,0.2889914621986245,1.9965317204436972,0.8812908992306927,0.0,1,svc,0.7,0.5764705882352941,0.0062930583953857,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_none_class_data
class_data-1.csv,pca,3,70,0.0428571428571428,3,1.5955636214439493,0.6856679200097978,4.440892098500626e-16,0.22538794414793,210,1,0.11,0.0529150262212918,5.693997319512522e+17,4.7320068041988096e+17,-0.0668617924139346,0.4711339021469366,-0.635863555088264,0.1249754582354664,-0.6346212964477824,0.0907660266044716,1.9884490551201484,0.8812908992306927,0.0,2,dt,0.9,0.9014120667522464,0.0062894821166992,0.8968253968253967,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_pca_class_data
class_data-1.csv,pca,3,70,0.0428571428571428,3,1.5955636214439493,0.6856679200097978,4.440892098500626e-16,0.22538794414793,210,1,0.11,0.0529150262212918,5.693997319512522e+17,4.7320068041988096e+17,-0.0668617924139346,0.4711339021469366,-0.635863555088264,0.1249754582354664,-0.6346212964477824,0.0907660266044716,1.9884490551201484,0.8812908992306927,0.0,2,svc,0.7,0.5764705882352941,0.0061962604522705,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_pca_class_data
class_data-1.csv,isomap,3,70,0.0428571428571428,3,1.5676663087098417,0.6356695816234585,0.0,0.2251365714074184,210,1,0.17,0.0793725393319377,2.3998407806605133e+18,2.375208131028926e+18,0.3743189884586528,0.2332187350804193,-0.6918040449883301,0.3829079260845555,-0.9553406104820428,0.1654040311749011,1.9883992728290616,0.8812908992306927,0.0,2,dt,1.0,1.0,0.0063364505767822,1.0,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",class_data,dt_isomap_class_data
class_data-1.csv,isomap,3,70,0.0428571428571428,3,1.5676663087098417,0.6356695816234585,0.0,0.2251365714074184,210,1,0.17,0.0793725393319377,2.3998407806605133e+18,2.375208131028926e+18,0.3743189884586528,0.2332187350804193,-0.6918040449883301,0.3829079260845555,-0.9553406104820428,0.1654040311749011,1.9883992728290616,0.8812908992306927,0.0,2,svc,0.7,0.5764705882352941,0.00620698928833,0.5,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",class_data,svc_isomap_class_data
